case_id,lang,topic,case_text,resolution,status,closed_at,synthetic
CASE-010189,en,billing,The fees for My Licence are unclear <NATIONAL_ID>,The invoice was reviewed and the fees were corrected,resolved,2026-04-01T12:00,True
CASE-010190,en,digital_services,The verification code for Facilities Portal never reaches my phone,The account was refreshed and sign-in was restored,resolved,2026-04-01T13:00,True
CASE-010191,ar,licensing,طلب ترخيص مواعيد الصيانة متوقف عند المراجعة منذ 5 أيام 😡,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-01T14:00,True
CASE-010192,ar,parks,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-04-01T15:00,True
CASE-010193,ar,roads,ألأسفلت متضرر قرب حي الياسمين والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-01T16:00,True
CASE-010194,en,lighting,The streetlight at Jeddah has been out for two weeks,The lighting unit was replaced and tested,resolved,2026-04-01T17:00,True
CASE-010195,en,waste,We need an additional waste container at Al Yasmin,The container was emptied and the collection schedule was updated,resolved,2026-04-01T18:00,True
CASE-010196,ar,water,يوجد تسرب مياه في جدة والبلاغ رقم BYN-2026-060195,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-01T19:00,True
CASE-010197,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-01T20:00,True
CASE-010198,ar,digital_services,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-04-01T21:00,True
CASE-010199,en,licensing,I need clarification on the documents required for Balady,The licensing team contacted the applicant for the missing document,resolved,2026-04-01T22:00,True
CASE-010200,en,parks,Irrigation is not working in King Fahd Road park <PHONE>,The issue was assigned to the parks team and repaired,resolved,2026-04-01T23:00,True
CASE-010201,ar,roads,الأسفلت متضرر قرب حي النرجس والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-02T00:00,True
CASE-010202,ar,lighting,الشارع مظلم قرب طريق الملك فهد ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-02T01:00,True
CASE-010203,ar,waste,الحاوية ممتلئة في الرياض ولم تُفرغ منذ 17 أيام <br>,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-02T02:00,True
CASE-010204,en,water,Water has been unavailable in Jeddah since this morning — very frustrating 😡,The leak was repaired and network pressure was restored,resolved,2026-04-02T03:00,True
CASE-010205,en,billing,The fees for Maintenance Appointments are unclear,The payment was matched and the account status was updated,resolved,2026-04-02T04:00,True
CASE-010206,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في مواعيد الصيانة,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-02T05:00,True
CASE-010207,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-060206,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-02T06:00,True
CASE-010208,ar,parks,الري متوقف في حديقة حي النرجس,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-04-02T07:00,True
CASE-010209,en,roads,There is a pothole near Tahlia Street for 2 days,The case was assigned to the roads team and the pothole was repaired,resolved,2026-04-02T08:00,True
CASE-010210,en,lighting,The walkway lights are not working at Dammam,The maintenance team repaired the wiring and restored service,resolved,2026-04-02T09:00,True
CASE-010211,ar,waste,الحاوية ممتلئة في جدة ولم تُفرغ منذ 4 أيام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-02T10:00,True
CASE-010212,ar,water,يوجد تسرب ميأه في جدة والبلاغ رقم BYN-2026-060211,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-04-02T11:00,True
CASE-010213,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-060212,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-02T12:00,True
CASE-010214,en,digital_services,The Maintenance Appointments app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2026-04-02T13:00,True
CASE-010215,en,licensing,My Balady licence request has been under review for 8 days,The documents were reviewed and the request status was updated,resolved,2026-04-02T14:00,True
CASE-010216,ar,parks,الري متوقف في حديقة حي العليا,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-02T15:00,True
CASE-010217,ar,roads,حفرة في الطريق أمام طريق الملك فهد منذ 10 أيام 😡,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-04-02T16:00,True
CASE-010218,ar,lighting,الشارع مظلم قرب الرياض ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-02T17:00,True
CASE-010219,en,waste,We need an additional waste container at Tahlia Street,A new collection point was added for the area,resolved,2026-04-02T18:00,True
CASE-010220,en,water,Water pressure is very low in Al Yasmin,The fault was fixed and water service was gradually restored,resolved,2026-04-02T19:00,True
CASE-010221,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-02T20:00,True
CASE-010222,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بلدي,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-02T21:00,True
CASE-010223,ar,licensing,طلب ترخيص رخصتي متوقف عند المراجعة منذ 16 أيام,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-04-02T22:00,True
CASE-010224,en,parks,The path at Riyadh is not wheelchair accessible,The site was maintained and the affected area was reopened,resolved,2026-04-02T23:00,True
CASE-010225,en,roads,There is a pothole near Al Narjis for 18 days,The case was assigned to the roads team and the pothole was repaired,resolved,2026-04-03T00:00,True
CASE-010226,ar,lighting,عمود الإنارة معطل في الرياض منذ أسبوعين,تم استبدال وحدة الإنارة واختبارها,resolved,2026-04-03T01:00,True
CASE-010227,ar,waste,الحاوية ممتلئة في شارع التحلية ولم تُفرغ منذ 20 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-04-03T02:00,True
CASE-010228,ar,water,يوجد تسرب مياه في حي العليا والبلاغ رقم BYN-2026-060227,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-03T03:00,True
CASE-010229,en,billing,I paid the bill but it still shows as unpaid,The invoice was reviewed and the fees were corrected,resolved,2026-04-03T04:00,True
CASE-010230,en,digital_services,An error appears when I upload a document in Facilities Portal — very frustrating 😡 <NATIONAL_ID>,The account was refreshed and sign-in was restored,resolved,2026-04-03T05:00,True
CASE-010231,ar,licensing,طلب ترخيص بوأبة المرافق متوقف عند المراجعة منذ 3 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-03T06:00,True
CASE-010232,ar,parks,الري متوقف في حديقة الرياض,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-03T07:00,True
CASE-010233,ar,roads,الأسفلت متضرر قرب الرياض والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-04-03T08:00,True
CASE-010234,en,lighting,The streetlight at King Fahd Road has been out for two weeks <br>,The maintenance team repaired the wiring and restored service,resolved,2026-04-03T09:00,True
CASE-010235,en,waste,The waste bin at King Fahd Road has not been emptied for 7 days,The container was emptied and the collection schedule was updated,resolved,2026-04-03T10:00,True
CASE-010236,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-060235,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-04-03T11:00,True
CASE-010237,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة <PHONE>,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-03T12:00,True
CASE-010238,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بوابة المرافق,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-03T13:00,True
CASE-010239,en,licensing,Request BYN-2025-060238 has not changed status,The documents were reviewed and the request status was updated,resolved,2026-04-03T14:00,True
CASE-010240,en,parks,The playground equipment at Al Olaya needs maintenance,The issue was assigned to the parks team and repaired,resolved,2026-04-03T15:00,True
CASE-010241,ar,roads,الطريق المؤدي إلى حي النرجس يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-03T16:00,True
CASE-010242,ar,lighting,الشارع مظلم قرب الرياض ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2026-04-03T17:00,True
CASE-010243,ar,waste,تراكمت النفايات قرب حي النرجس وتسبب رائحة قوية 😡,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-03T18:00,True
CASE-010244,en,water,Water has been unavailable in King Fahd Road since this morning,The fault was fixed and water service was gradually restored,resolved,2026-04-03T19:00,True
CASE-010245,en,billing,Incorrect fees were charged on invoice BYN-2025-060244,The payment was matched and the account status was updated,resolved,2026-04-03T20:00,True
CASE-010246,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة مواعيد الصيانة,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-04-03T21:00,True
CASE-010247,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-060246,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-03T22:00,True
CASE-010248,ar,parks,الممر في حديقة الرياض غير مناسب للكراسي المتحركة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-04-03T23:00,True
CASE-010249,en,roads,Damaged asphalt near Jeddah is making driving unsafe,The site was inspected and road maintenance was scheduled,resolved,2026-04-04T00:00,True
CASE-010250,en,lighting,THE STREET IS DARK NEAR TAHLIA STREET AND THE LIGHTING NEEDS REPAIR,The maintenance team repaired the wiring and restored service,resolved,2026-04-04T01:00,True
CASE-010251,ar,waste,نحتاج حاوية إضافية في طريق الملك فهد,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-04T02:00,True
CASE-010252,ar,water,ضغط المياه منخفض جداً في حي النرجس,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-04T03:00,True
CASE-010253,ar,billing,الرسوم في خدمة بوابة المرافق غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-04T04:00,True
CASE-010254,en,digital_services,An error appears when I upload a document in My Licence,The technical issue was fixed and the verification code was resent,resolved,2026-04-04T05:00,True
CASE-010255,en,licensing,My Balady licence request has been under review for 6 days,The documents were reviewed and the request status was updated,resolved,2026-04-04T06:00,True
CASE-010256,ar,parks,الري متوقف في حديقة حي النرجس 😡,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-04T07:00,True
CASE-010257,ar,roads,الأسفلت متضرر قرب شارع التحلية والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-04-04T08:00,True
CASE-010258,ar,lighting,عمود الإنارة معطل في حي الياسمين منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-04T09:00,True
CASE-010259,en,waste,We need an additional waste container at King Fahd Road,The container was emptied and the collection schedule was updated,resolved,2026-04-04T10:00,True
CASE-010260,en,water,Water has been unavailable in Al Narjis since this morning,The leak was repaired and network pressure was restored,resolved,2026-04-04T11:00,True
CASE-010261,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-060260,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-04-04T12:00,True
CASE-010262,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بوابة المرافق,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-04T13:00,True
CASE-010263,ar,licensing,لووووسمحت طلب ترخيص مواعيد الصيانة متوقف عند المراجعة منذ 14 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-04T14:00,True
CASE-010264,en,parks,Irrigation is not working in Al Olaya park,The site was maintained and the affected area was reopened,resolved,2026-04-04T15:00,True
CASE-010265,en,roads,The road leading to Al Yasmin needs urgent maintenance <br>,The case was assigned to the roads team and the pothole was repaired,resolved,2026-04-04T16:00,True
CASE-010266,ar,lighting,الشارع مظلم قرب جدة ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2026-04-04T17:00,True
CASE-010267,ar,waste,تراكمت النفايات قرب الدمام وتسبب رائحة قوية,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-04T18:00,True
CASE-010268,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-060267,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-04-04T19:00,True
CASE-010269,en,billing,THE FEES FOR WATER SERVICES ARE UNCLEAR — VERY FRUSTRATING 😡,The payment was matched and the account status was updated,resolved,2026-04-04T20:00,True
CASE-010270,en,digital_services,The verification code for Balady never reaches my phone,The account was refreshed and sign-in was restored,resolved,2026-04-04T21:00,True
CASE-010271,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص رخصتي <NATIONAL_ID>,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-04-04T22:00,True
CASE-010272,ar,parks,ألعاب الأطفال في حديقة حي النرجس تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-04T23:00,True
CASE-010273,ar,roads,الأسفلت متضرر قرب حي الياسمين والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-05T00:00,True
CASE-010274,en,lighting,The streetlight at Al Olaya has been out for two weeks <PHONE>,The lighting unit was replaced and tested,resolved,2026-04-05T01:00,True
CASE-010275,en,waste,Waste is piling up near Tahlia Street and causing a strong smell,A new collection point was added for the area,resolved,2026-04-05T02:00,True
CASE-010276,ar,water,ضغط المياه منخفض جداً في شارع التحلية,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2026-04-05T03:00,True
CASE-010277,ar,billing,الرسوم في خدمة بوابة المرافق غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-04-05T04:00,True
CASE-010278,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة مواعيد الصيانة,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-04-05T05:00,True
CASE-010279,en,licensing,My Balady licence request has been under review for 9 days,The licensing team contacted the applicant for the missing document,resolved,2026-04-05T06:00,True
CASE-010280,en,parks,Irrigation is not working in Dammam park,The issue was assigned to the parks team and repaired,resolved,2026-04-05T07:00,True
CASE-010281,ar,roads,الطريق المؤدي إلى الرياض يحتاج صيانة عاجلة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-04-05T08:00,True
CASE-010282,ar,lighting,إنارة الممر لا تعمل عند حي النرجس 😡,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-05T09:00,True
CASE-010283,ar,waste,نحتاج حاوية إضافية في حي الياسمين,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-05T10:00,True
CASE-010284,en,water,There is a water leak at Al Narjis; reference BYN-2026-060283,The leak was repaired and network pressure was restored,resolved,2026-04-05T11:00,True
CASE-010285,en,billing,Incorrect fees were charged on invoice BYN-2025-060284,The invoice was reviewed and the fees were corrected,resolved,2026-04-05T12:00,True
CASE-010286,ar,digital_services,تطبيق مواعيد الصيانة يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-05T13:00,True
CASE-010287,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-060286,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-04-05T14:00,True
CASE-010288,ar,parks,ألعأب الأطفال في حديقة طريق الملك فهد تحتاج صيانة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-05T15:00,True
CASE-010289,en,roads,Damaged asphalt near Al Narjis is making driving unsafe,The case was assigned to the roads team and the pothole was repaired,resolved,2026-04-05T16:00,True
CASE-010290,en,lighting,The street is dark near Jeddah and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2026-04-05T17:00,True
CASE-010291,ar,waste,تراكمت النفايات قرب حي العليا وتسبب رائحة قوية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-04-05T18:00,True
CASE-010292,ar,water,لووووسمحت ضغط المياه منخفض جداً في شارع التحلية,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-05T19:00,True
CASE-010293,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-060292,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-04-05T20:00,True
CASE-010294,en,digital_services,The Facilities Portal app crashes during sign-in,The technical issue was fixed and the verification code was resent,resolved,2026-04-05T21:00,True
CASE-010295,en,licensing,My Facilities Portal licence request has been under review for 4 days — very frustrating 😡,The licensing team contacted the applicant for the missing document,resolved,2026-04-05T22:00,True
CASE-010296,ar,parks,الري متوقف في حديقة طريق الملك فهد <br>,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-05T23:00,True
CASE-010297,ar,roads,الأسفلت متضرر قرب جدة والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-06T00:00,True
CASE-010298,ar,lighting,إنارة الممر لا تعمل عند حي الياسمين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-06T01:00,True
CASE-010299,en,waste,Waste is piling up near Riyadh and causing a strong smell,The container was emptied and the collection schedule was updated,resolved,2026-04-06T02:00,True
CASE-010300,en,water,Water pressure is very low in King Fahd Road,The fault was fixed and water service was gradually restored,resolved,2026-04-06T03:00,True
CASE-010301,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-06T04:00,True
CASE-010302,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة بوابة المرافق,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-04-06T05:00,True
CASE-010303,ar,licensing,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 12 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-06T06:00,True
CASE-010304,en,parks,The path at Al Yasmin is not wheelchair accessible,The site was maintained and the affected area was reopened,resolved,2026-04-06T07:00,True
CASE-010305,en,roads,There is a pothole near Riyadh for 14 days,The case was assigned to the roads team and the pothole was repaired,resolved,2026-04-06T08:00,True
CASE-010306,ar,lighting,عمود الإنارة معطل في حي العليا منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-06T09:00,True
CASE-010307,ar,waste,نحتأج حاوية إضافية في شارع التحلية,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-04-06T10:00,True
CASE-010308,ar,water,ضغط المياه منخفض جداً في جدة 😡,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-06T11:00,True
CASE-010309,en,billing,Incorrect fees were charged on invoice BYN-2025-060308,The invoice was reviewed and the fees were corrected,resolved,2026-04-06T12:00,True
CASE-010310,en,digital_services,The verification code for My Licence never reaches my phone,The account was refreshed and sign-in was restored,resolved,2026-04-06T13:00,True
CASE-010311,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص بوابة المرافق <PHONE>,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-04-06T14:00,True
CASE-010312,ar,parks,ألعاب الأطفال في حديقة حي النرجس تحتاج صيانة <NATIONAL_ID>,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-06T15:00,True
CASE-010313,ar,roads,حفرة في الطريق أمام شارع التحلية منذ 1 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-06T16:00,True
CASE-010314,en,lighting,The walkway lights are not working at Al Narjis,The maintenance team repaired the wiring and restored service,resolved,2026-04-06T17:00,True
CASE-010315,en,waste,Waste is piling up near Jeddah and causing a strong smell,A new collection point was added for the area,resolved,2026-04-06T18:00,True
CASE-010316,ar,water,ضغط المياه منخفض جداً في حي الياسمين,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-06T19:00,True
CASE-010317,ar,billing,الرسوم في خدمة بلدي غير واضحة,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-04-06T20:00,True
CASE-010318,ar,digital_services,تطبيق بوابة المرافق يتوقف عند تسجيل الدخول,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-06T21:00,True
CASE-010319,en,licensing,I need clarification on the documents required for Maintenance Appointments,The documents were reviewed and the request status was updated,resolved,2026-04-06T22:00,True
CASE-010320,en,parks,Irrigation is not working in Al Yasmin park,The site was maintained and the affected area was reopened,resolved,2026-04-06T23:00,True
CASE-010321,ar,roads,لووووسمحت الطريق المؤدي إلى الرياض يحتاج صيانة عاجلة 😡,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-07T00:00,True
CASE-010322,ar,lighting,الشارع مظلم قرب الدمام ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-07T01:00,True
CASE-010323,ar,waste,نحتاج حاوية إضافية في طريق الملك فهد,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2026-04-07T02:00,True
CASE-010324,en,water,Water has been unavailable in Tahlia Street since this morning,The leak was repaired and network pressure was restored,resolved,2026-04-07T03:00,True
CASE-010325,en,billing,Incorrect fees were charged on invoice BYN-2025-060324,The payment was matched and the account status was updated,resolved,2026-04-07T04:00,True
CASE-010326,ar,digital_services,ظهرت رسألة خطأ عند رفع المستند في مواعيد الصيانة,تم تحديث الحساب وإعادة تفعيل الدخول,resolved,2026-04-07T05:00,True
CASE-010327,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-060326 <br>,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-04-07T06:00,True
CASE-010328,ar,parks,الري متوقف في حديقة الرياض,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-04-07T07:00,True
CASE-010329,en,roads,The road leading to Tahlia Street needs urgent maintenance,The site was inspected and road maintenance was scheduled,resolved,2026-04-07T08:00,True
CASE-010330,en,lighting,The streetlight at Tahlia Street has been out for two weeks,The lighting unit was replaced and tested,resolved,2026-04-07T09:00,True
CASE-010331,ar,waste,نحتاج حاوية إضافية في الدمام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-04-07T10:00,True
CASE-010332,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-060331,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-07T11:00,True
CASE-010333,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-060332,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-07T12:00,True
CASE-010334,en,digital_services,The verification code for Maintenance Appointments never reaches my phone — very frustrating 😡,The account was refreshed and sign-in was restored,resolved,2026-04-07T13:00,True
CASE-010335,en,licensing,I need clarification on the documents required for Balady,The licensing team contacted the applicant for the missing document,resolved,2026-04-07T14:00,True
CASE-010336,ar,parks,الممر في حديقة شارع التحلية غير مناسب للكراسي المتحركة,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2026-04-07T15:00,True
CASE-010337,ar,roads,حفرة في الطريق أمام شارع التحلية منذ 4 أيام,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-07T16:00,True
CASE-010338,ar,lighting,الشارع مظلم قرب حي العليا ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-07T17:00,True
CASE-010339,en,waste,Waste is piling up near Al Yasmin and causing a strong smell,The container was emptied and the collection schedule was updated,resolved,2026-04-07T18:00,True
CASE-010340,en,water,Water has been unavailable in King Fahd Road since this morning,The leak was repaired and network pressure was restored,resolved,2026-04-07T19:00,True
CASE-010341,ar,billing,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-060340,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2026-04-07T20:00,True
CASE-010342,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في مواعيد الصيانة,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-07T21:00,True
CASE-010343,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-060342,تواصل فريق التراخيص لطلب المستند الناقص,resolved,2026-04-07T22:00,True
CASE-010344,en,parks,The playground equipment at Riyadh needs maintenance,The issue was assigned to the parks team and repaired,resolved,2026-04-07T23:00,True
CASE-010345,en,roads,DAMAGED ASPHALT NEAR AL NARJIS IS MAKING DRIVING UNSAFE,The case was assigned to the roads team and the pothole was repaired,resolved,2026-04-08T00:00,True
CASE-010346,ar,lighting,الشارع مظلم قرب حي العليا ونحتاج إصلاح الإنارة,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-08T01:00,True
CASE-010347,ar,waste,نحتاج حاوية إضافية في شارع التحلية 😡,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-04-08T02:00,True
CASE-010348,ar,water,انقطاع المياه مستمر في طريق الملك فهد منذ الصباح <PHONE>,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-08T03:00,True
CASE-010349,en,billing,The fees for Balady are unclear,The payment was matched and the account status was updated,resolved,2026-04-08T04:00,True
CASE-010350,en,digital_services,An error appears when I upload a document in Water Services,The technical issue was fixed and the verification code was resent,resolved,2026-04-08T05:00,True
CASE-010351,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-060350,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2026-04-08T06:00,True
CASE-010352,ar,parks,الري متوقف في حديقة حي العليا,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2026-04-08T07:00,True
CASE-010353,ar,roads,حفرة في الطريق أمام حي النرجس منذ 20 أيام <NATIONAL_ID>,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2026-04-08T08:00,True
CASE-010354,en,lighting,The walkway lights are not working at Riyadh,The lighting unit was replaced and tested,resolved,2026-04-08T09:00,True
CASE-010355,en,waste,The waste bin at Riyadh has not been emptied for 1 days,The container was emptied and the collection schedule was updated,resolved,2026-04-08T10:00,True
CASE-010356,ar,water,يوجد تسرب مياه في حي النرجس والبلاغ رقم BYN-2026-060355,عولج العطل وأعيدت المياه تدريجياً,resolved,2026-04-08T11:00,True
CASE-010357,ar,billing,الرسوم في خدمة رخصتي غير واضحة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2026-04-08T12:00,True
CASE-010358,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في مواعيد الصيانة <br>,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2026-04-08T13:00,True
CASE-010359,en,licensing,Request BYN-2025-060358 has not changed status,The licensing team contacted the applicant for the missing document,resolved,2026-04-08T14:00,True
CASE-010360,en,parks,The path at Jeddah is not wheelchair accessible — very frustrating 😡,The site was maintained and the affected area was reopened,resolved,2026-04-08T15:00,True
CASE-010361,ar,roads,الأسفلت متضرر قرب الدمام والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2026-04-08T16:00,True
CASE-010362,ar,lighting,إنارة الممر لا تعمل عند حي العليا,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2026-04-08T17:00,True
CASE-010363,ar,waste,الحاوية ممتلئة في الدمام ولم تُفرغ منذ 9 أيام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2026-04-08T18:00,True
